fuente_id,anio,dataset,organismo,url,archivo,fecha_consulta,sha256,observaciones
catalogo_bases,2024,Catálogo de bases abiertas agregadas,Secretaría de Educación,https://www.argentina.gob.ar/educacion/evaluacion-e-informacion-educativa/datos-abiertos-de-la-secretaria-de-educacion,,2026-09-12,,Índice oficial que enlaza archivos de SharePoint institucional.
aprender_sec_lengua_2024,2024,Aprender Secundaria agregada - Lengua,Secretaría de Educación,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EdXlO-mGAv1Jheqw9C7USFABZFrlzfQNYogXR8uMjTeqAg,2024_secundaria_lengua_agregada.csv,2026-09-12,85515cbb8cab9a7fd27352545a192362c53ccd5e018e89fbb8e2e7149fe271ba,"1175 filas; departamento x sector x ámbito; actualización indicada a noviembre de 2025."
aprender_sec_matematica_2024,2024,Aprender Secundaria agregada - Matemática,Secretaría de Educación,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/ETm6IzjzMnFLheVYcI0lVpoBuyI7PuxPyF_1Pcncp4zI9A,2024_secundaria_matematica_agregada.csv,2026-09-12,dab1d6f6412404398986117b21e073e33cc65317cc7d546c2ad0a7e6c6223b2f,"1175 filas; departamento x sector x ámbito; actualización indicada a noviembre de 2025."
diccionario_aprender,2016-2024,Diccionario de bases Aprender anonimizadas,Secretaría de Educación,https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EWUupRVwnaBNpuqQdhbq2bMB2k1yMKp5VYxMEYQ2oyp4zQ,diccionario_bases_aprender_anonimizadas.xlsx,2026-09-12,8a950ba9876b50e17cc8901133ae6f4ae9e9a8f3c34e87014290620656545239,Diccionario oficial con hojas por operativo.
pagina_secundaria_2024,2024,Aprender Secundaria 2024,Secretaría de Educación,https://www.argentina.gob.ar/educacion/evaluacion-informacion-educativa/aprender/aprender-2024/aprender-secundaria-2024,,2026-09-12,,Universo y participación oficial.
pagina_primaria_2024,2024,Aprender Primaria 2024,Secretaría de Educación,https://www.argentina.gob.ar/node/444108,,2026-09-12,,Diseño muestral de 3.º grado.
metodologia_primaria_2024,2024,Documento metodológico Aprender Alfabetización,Secretaría de Educación,https://www.argentina.gob.ar/sites/default/files/aprender_alfabetizacion2024.pdf,,2026-09-12,,Documenta muestra compleja y ponderadores.
pagina_aprender,2016-2025,Archivo de operativos Aprender,Secretaría de Educación,https://www.argentina.gob.ar/educacion/evaluacion-informacion-educativa/aprender,,2026-09-12,,Índice oficial por año.
