"fuente","anio","dataset","url","archivo","fecha_descarga","sha256"
"RA","2011","matricula_edad","https://ministeriodeeducaciondelanacion-my.sharepoint.com/:x:/g/personal/santiago_pomeranz_educacion_gob_ar/EWjqTM7PBFdJnS8XBS7Q5U4BCpBcdvjxeVjX0z9XHg2uFg?e=Z1aEJP","data/raw/acceso_escolar/2011_matricula_edad.csv","2026-09-12","b0772690535158a30afce0880bed8d3a01e7230406f714fb628cba0b9529da2c"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_bsas_est_c4_2.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_bsas_est_c4_2.xlsx","2026-09-12","5c2044bbb6ebd524695bc39ac8ab3f0d8fef65a83a3403d0332a35aa67523679"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_caba_est_c4_1.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_caba_est_c4_1.xlsx","2026-09-12","253af3aa6f0ef2c2138d40949987021ab7bb4b6edcefd71c5991c5511376519c"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_catamarca_est_c4_3.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_catamarca_est_c4_3.xlsx","2026-09-12","3df497d009528c9b933cd329b0bc9bcc9fe5f5ea9d15f27d488c54e90aa15a37"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_chaco_est_c4_4.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_chaco_est_c4_4.xlsx","2026-09-12","6bfc5752fc948d5c2154bbbef3e5890641578140710cb59fa12701ec52db178a"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_chubut_est_c4_5.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_chubut_est_c4_5.xlsx","2026-09-12","08b9526fcff10e6a06c6e7f687f3d5080d4609d371e4694d2ea4951e960ab254"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_cordoba_est_c4_6.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_cordoba_est_c4_6.xlsx","2026-09-12","dd52fd2ba5f835dddf3139bca3776f4831045836f5b980671c90e90aa9592b3d"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_corrientes_est_c4_7.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_corrientes_est_c4_7.xlsx","2026-09-12","7be6b19b51a3d3b394f8295518dba16bee4c9ec55efa6b12fee344e994dbe024"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_entrerios_est_c4_8.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_entrerios_est_c4_8.xlsx","2026-09-12","3bdb21dba2e046c9f9210311d77280f3c2120c409b7f3f4049beecf0a1336fca"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_formosa_est_c4_9.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_formosa_est_c4_9.xlsx","2026-09-12","2745054b538c32c994a0abf1e8b91b95aabf3489510078bbb3e47a2c0cb82d6a"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_jujuy_est_c4_10.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_jujuy_est_c4_10.xlsx","2026-09-12","cbc1c4b9efef9107f775b4fb9d3a4fd8f54f7b09b79c1193cf5044b360605897"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_lapampa_est_c4_11.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_lapampa_est_c4_11.xlsx","2026-09-12","e8ac70db5ee66ebce0d51ce36c1daa45cc8977001d8642f15452908ce2631681"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_larioja_est_c4_12.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_larioja_est_c4_12.xlsx","2026-09-12","a8138ea6ffc96bdb3b56f4157c004b1eecf9cd58f6853bf87897c66e61271605"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_mendoza_est_c4_13.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_mendoza_est_c4_13.xlsx","2026-09-12","b486a83e620971fece7aac6fa134dedaf1118e89954a8c85a36fa9ecbf07f249"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_misiones_est_c4_14.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_misiones_est_c4_14.xlsx","2026-09-12","d4353cdb42973f0b7141c050e82014a633dc0d2541762950c322ee11bb786b41"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_neuquen_est_c4_15.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_neuquen_est_c4_15.xlsx","2026-09-12","63ed62face04710caaea265361fdd22ba8c9b48bca434495b37d8cd190cb491d"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_rionegro_est_c4_16.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_rionegro_est_c4_16.xlsx","2026-09-12","a0d893519cb2a1c9200ec9e220beda7d0a47c892683499404a688d04867197fd"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_salta_est_c4_17.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_salta_est_c4_17.xlsx","2026-09-12","d06f44c18bb523e48ed61f5564d3644e20bf2d4e0ba12b1632ea7c8161565a14"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_sanjuan_est_c4_18.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_sanjuan_est_c4_18.xlsx","2026-09-12","94424100cf3ae542b36b6d603cf6d4ba299e319e5e348180122e845f1e7dd4ba"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_sanluis_est_c4_19.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_sanluis_est_c4_19.xlsx","2026-09-12","62324abf2c7eaeadddc81c9894fc941a7b7b8d347dbc6ad94d0a3fd5ea67673b"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_santacruz_est_c4_20.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_santacruz_est_c4_20.xlsx","2026-09-12","73789df5f673d4791f21f5a3f6ceeb00a19e529105f8fd8c369094ff7c121c68"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_santafe_est_c4_21.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_santafe_est_c4_21.xlsx","2026-09-12","3201c6152571b8d3f06c658aacb0a18d07e3ab380745548a17cf96319132eedb"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_santiago_est_c4_22.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_santiago_est_c4_22.xlsx","2026-09-12","56ca4a73094320529a8be3a6adeb4d3ae4a8809f0cb2653fe842161b6675ad27"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_tdf_est_c4_23.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_tdf_est_c4_23.xlsx","2026-09-12","a45ed33a305229c4fb83f640e145e2f7965c85f3c7b5232be68f5c7561014ccb"
"INDEC Censo 2022","2022","poblacion_edad_simple","https://www.indec.gob.ar/ftp/cuadros/poblacion/c2022_tucuman_est_c4_24.xlsx","data/raw/acceso_escolar/indec_censo2022/c2022_tucuman_est_c4_24.xlsx","2026-09-12","4e9321086675993e93bf0bddcc596cd05dade9d66f197862692ed07ad4a4c35c"
